symbol,name,series
DAMODARIND.NS,Damodar Industries Limited,BE
DANGEE.NS,Dangee Dums Limited,EQ
DATAMATICS.NS,Datamatics Global Services Limited,EQ
DATAPATTNS.NS,Data Patterns (India) Limited,EQ
DAVANGERE.NS,Davangere Sugar Company Limited,EQ
DBCORP.NS,D.B.Corp Limited,EQ
DBEIL.NS,Deepak Builders & Engineers India Limited,BE
DBL.NS,Dilip Buildcon Limited,EQ
DBOL.NS,Dhampur Bio Organics Limited,BE
DBREALTY.NS,Valor Estate Limited,BE
DBSTOCKBRO.NS,DB (International) Stock Brokers Limited,EQ
DCAL.NS,Dishman Carbogen Amcis Limited,EQ
DCBBANK.NS,DCB Bank Limited,EQ
DCI.NS,Dc Infotech And Communication Limited,BE
DCM.NS,DCM  Limited,BE
DCMFINSERV.NS,DCM Financial Services Limited,BE
DCMNVL.NS,DCM Nouvelle Limited,BE
